Variant-ID	Gene-name	Family-ID	Lineage-ID	Class	Blacklisted
C2|aac(3)-II|aac3-6_17|LMP|Victor_2025|HiFAMG_C_sequ1ence	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_15|LMP|Victor_2025|HoFAMG_C_sequ1ence	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_18|LMP|Victor_2025|HiApraminoglycosidemodelcSeq1	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_14|LMP|Victor_2025|SeAAMG_C_sequ1ence	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_10|EMV|ResFinder|EU022314.1	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_11|ECV|ResFinder|X54723.1	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_1|EMV|ResFinderFG|KU544892.1	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_8|EMV|ResFinder|AY138987.1	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_9|EMV|ResFinder|EU022315.1	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_13|LMP|Victor_2025|SeFAMG_C_sequ2ence	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_2|EMV|ResFinderFG|KU545358.1	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_5|EMV|ResFinder|FJ012882.1	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_6|EMV|ResFinder|L22613.1	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_4|EMV|ResFinder|CP023555.1	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_7|ECV|ResFinder|X13543.1	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-II|aac3-6_3|EMV|ResFinderFG|KU546299.1	aac(3)-II	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	C2|aac(3)-II|aac3-6_12|EMV|ResFinder|X51534.1	dfr	
C2|aac(3)-IVb|aac3-1_1|ECV|CARD|QEQ43476.1	aac(3)-IVb	C2|aac(3)-IVb|aac3-1_1|ECV|CARD|QEQ43476.1	C2|aac(3)-IV|aac3-8_1|EMV|ResFinder|X01385.1	dfr	
C2|aac(3)-IV|aac3-8_4|LMS|Ruppe_2019|CAA25642.1_1	aac(3)-IV	C2|aac(3)-IV|aac3-8_1|EMV|ResFinder|X01385.1	C2|aac(3)-IV|aac3-8_1|EMV|ResFinder|X01385.1	aac3_2	
C2|aac(3)-IV|aac3-8_2|EMV|CARD|ABB43029.1	aac(3)-IV	C2|aac(3)-IV|aac3-8_1|EMV|ResFinder|X01385.1	C2|aac(3)-IV|aac3-8_1|EMV|ResFinder|X01385.1	aac3_2	
C2|aac(3)-IV|aac3-8_1|EMV|ResFinder|X01385.1	aac(3)-IV	C2|aac(3)-IV|aac3-8_1|EMV|ResFinder|X01385.1	C2|aac(3)-IV|aac3-8_1|EMV|ResFinder|X01385.1	aac3_2	
C2|aac(3)-IV|aac3-8_3|EMV|ResFinder|DQ241380.1	aac(3)-IV	C2|aac(3)-IV|aac3-8_1|EMV|ResFinder|X01385.1	C2|aac(3)-IV|aac3-8_1|EMV|ResFinder|X01385.1	aac3_2	
C2|aac(3)-IXa|aac3-9_1|ECV|ResFinder|M55427.1	aac(3)-IXa	C2|aac(3)-IXa|aac3-9_1|ECV|ResFinder|M55427.1	C2|aac(3)-VIIa|aac3-22_1|ECV|ResFinder|M22999.1	aac3_2	
C2|aac(3)-Ia|aac3-11_1|EMV|ResFinder|X15852.1	aac(3)-Ia	C2|aac(3)-Ia|aac3-11_1|EMV|ResFinder|X15852.1	C2|aac(3)-Ia|aac3-11_1|EMV|ResFinder|X15852.1	aac3_2	
C2|aac(3)-Ib-aac(6')-Ib|aac3-12_1|EMV|ResFinder|AF355189.1	aac(3)-Ib-aac(6')-Ib	C2|aac(3)-Ib-aac(6')-Ib|aac3-12_1|EMV|ResFinder|AF355189.1	C2|aac(3)-Ib-aac(6')-Ib|aac3-12_1|EMV|ResFinder|AF355189.1	aac3_2	
C2|aac(3)-Ib|aac3-13_1|EMV|ResFinder|L06157.1	aac(3)-Ib	C2|aac(3)-Ib|aac3-13_1|EMV|ResFinder|L06157.1	C2|~aac3-420_1|aac3-420_1|EMV|Victor_2025|HoFAMG_B_sequ2ence	aac3_2	
C2|aac(3)-Ic|aac3-14_1|EMV|ResFinder|AJ511268.1	aac(3)-Ic	C2|aac(3)-Ic|aac3-14_1|EMV|ResFinder|AJ511268.1	C2|aac(3)-Ic|aac3-14_1|EMV|ResFinder|AJ511268.1	aac3_2	
C2|aac(3)-Id|aac3-15_2|EMV|ResFinder|AB114632.1	aac(3)-Id	C2|aac(3)-Id|aac3-15_2|EMV|ResFinder|AB114632.1	C2|aac(3)-Id|aac3-15_2|EMV|ResFinder|AB114632.1	aac3_2	
C2|aac(3)-Id|aac3-15_1|EMV|CARD|AAR21614.1	aac(3)-Id	C2|aac(3)-Id|aac3-15_2|EMV|ResFinder|AB114632.1	C2|aac(3)-Id|aac3-15_2|EMV|ResFinder|AB114632.1	aac3_2	
C2|aac(3)-If|aac3-16_1|EMV|ResFinder|AY884051.1	aac(3)-If	C2|aac(3)-If|aac3-16_1|EMV|ResFinder|AY884051.1	C2|~aac3-420_1|aac3-420_1|EMV|Victor_2025|HoFAMG_B_sequ2ence	aac3_2	
C2|aac(3)-Ig|aac3-17_1|ECV|ResFinder|CP000282.1	aac(3)-Ig	C2|aac(3)-Ig|aac3-17_1|ECV|ResFinder|CP000282.1	C2|aac(3)-Ig|aac3-17_1|ECV|ResFinder|CP000282.1	aac3_2	
C2|aac(3)-Ih|aac3-18_1|EMV|ResFinder|CP000490.1	aac(3)-Ih	C2|aac(3)-Ih|aac3-18_1|EMV|ResFinder|CP000490.1	C2|aac(3)-Ih|aac3-18_1|EMV|ResFinder|CP000490.1	aac3_2	
C2|aac(3)-Ii|aac3-19_1|ECV|ResFinder|CP000356.1	aac(3)-Ii	C2|aac(3)-Ii|aac3-19_1|ECV|ResFinder|CP000356.1	C2|aac(3)-Ii|aac3-19_1|ECV|ResFinder|CP000356.1	aac3_2	
C2|aac(3)-I|aac3-10_5|LCP|Victor_2025|HoFAMG_B_sequ1ence	aac(3)-I	C2|aac(3)-I|aac3-10_2|EMV|ResFinder|AJ877225.1	C2|aac(3)-Ia|aac3-11_1|EMV|ResFinder|X15852.1	aac3_2	
C2|aac(3)-I|aac3-10_8|LCP|Victor_2025|HiFAMG_B_sequ1ence	aac(3)-I	C2|aac(3)-I|aac3-10_2|EMV|ResFinder|AJ877225.1	C2|aac(3)-Ia|aac3-11_1|EMV|ResFinder|X15852.1	aac3_2	
C2|aac(3)-I|aac3-10_7|LCP|Victor_2025|HoAAMG_B_sequ1ence	aac(3)-I	C2|aac(3)-I|aac3-10_2|EMV|ResFinder|AJ877225.1	C2|aac(3)-Ia|aac3-11_1|EMV|ResFinder|X15852.1	aac3_2	
C2|aac(3)-I|aac3-10_4|LCP|Victor_2025|SeAAMG_B_sequ2ence	aac(3)-I	C2|aac(3)-I|aac3-10_2|EMV|ResFinder|AJ877225.1	C2|aac(3)-Ia|aac3-11_1|EMV|ResFinder|X15852.1	aac3_2	
C2|aac(3)-I|aac3-10_1|EMV|CARD|AAG15269.1	aac(3)-I	C2|aac(3)-I|aac3-10_2|EMV|ResFinder|AJ877225.1	C2|aac(3)-Ia|aac3-11_1|EMV|ResFinder|X15852.1	aac3_2	
C2|aac(3)-I|aac3-10_2|EMV|ResFinder|AJ877225.1	aac(3)-I	C2|aac(3)-I|aac3-10_2|EMV|ResFinder|AJ877225.1	C2|aac(3)-Ia|aac3-11_1|EMV|ResFinder|X15852.1	aac3_2	
C2|aac(3)-I|aac3-10_6|LCP|Victor_2025|HoAAMG_B_sequ2ence	aac(3)-I	C2|aac(3)-I|aac3-10_2|EMV|ResFinder|AJ877225.1	C2|aac(3)-Ia|aac3-11_1|EMV|ResFinder|X15852.1	aac3_2	
C2|aac(3)-I|aac3-10_3|LCP|Victor_2025|SeFAMG_B_sequ1ence	aac(3)-I	C2|aac(3)-I|aac3-10_2|EMV|ResFinder|AJ877225.1	C2|aac(3)-Ia|aac3-11_1|EMV|ResFinder|X15852.1	aac3_2	
C2|aac(3)-I|aac3-10_9|LCP|Victor_2025|HiAAMG_B_sequ1ence	aac(3)-I	C2|aac(3)-I|aac3-10_2|EMV|ResFinder|AJ877225.1	C2|aac(3)-Ia|aac3-11_1|EMV|ResFinder|X15852.1	aac3_2	
C2|aac(3)-VIII|aac3-20_2|ECV|ResFinder|AB211959.1	aac(3)-VIII	C2|aac(3)-VIII|aac3-20_2|ECV|ResFinder|AB211959.1	C2|aac(3)-VIII|aac3-20_2|ECV|ResFinder|AB211959.1	aac3_2	
C2|aac(3)-VIII|aac3-20_4|ECV|ResFinder|M55426.1	aac(3)-VIII	C2|aac(3)-VIII|aac3-20_2|ECV|ResFinder|AB211959.1	C2|aac(3)-VIII|aac3-20_2|ECV|ResFinder|AB211959.1	aac3_2	
C2|aac(3)-VIII|aac3-20_1|ECV|ResFinder|AJ843080.1	aac(3)-VIII	C2|aac(3)-VIII|aac3-20_2|ECV|ResFinder|AB211959.1	C2|aac(3)-VIII|aac3-20_2|ECV|ResFinder|AB211959.1	aac3_2	
C2|aac(3)-VIII|aac3-20_3|ECV|CARD|AAA26685.1	aac(3)-VIII	C2|aac(3)-VIII|aac3-20_2|ECV|ResFinder|AB211959.1	C2|aac(3)-VIII|aac3-20_2|ECV|ResFinder|AB211959.1	aac3_2	
C2|aac(3)-VIII|aac3-21_1|ECV|ResFinder|AJ748131.1	aac(3)-VIII	C2|aac(3)-VIII|aac3-21_1|ECV|ResFinder|AJ748131.1	C2|aac(3)-VIII|aac3-20_2|ECV|ResFinder|AB211959.1	aac3_2	
C2|aac(3)-VIIa|aac3-22_1|ECV|ResFinder|M22999.1	aac(3)-VIIa	C2|aac(3)-VIIa|aac3-22_1|ECV|ResFinder|M22999.1	C2|aac(3)-VIIa|aac3-22_1|ECV|ResFinder|M22999.1	aac3_2	
C2|aac(3)-VIa|aac3-23_1|EMV|ResFinder|NC.009838	aac(3)-VIa	C2|aac(3)-VIa|aac3-23_1|EMV|ResFinder|NC.009838	C2|aac(3)-VIa|aac3-23_1|EMV|ResFinder|NC.009838	aac3_2	
C2|aac(3)-VIa|aac3-23_2|EMV|ResFinder|M88012.1	aac(3)-VIa	C2|aac(3)-VIa|aac3-23_1|EMV|ResFinder|NC.009838	C2|aac(3)-VIa|aac3-23_1|EMV|ResFinder|NC.009838	aac3_2	
C2|aac(3)-XI|aac3-24_1|EMV|ResFinder|CTEG01000046.1	aac(3)-XI	C2|aac(3)-XI|aac3-24_1|EMV|ResFinder|CTEG01000046.1	C2|aac(3)-XI|aac3-24_1|EMV|ResFinder|CTEG01000046.1	aac3_2	
C2|aac(3)-Xa|aac3-25_1|ECV|ResFinder|AB028210.1	aac(3)-Xa	C2|aac(3)-Xa|aac3-25_1|ECV|ResFinder|AB028210.1	C2|aac(3)-VIIa|aac3-22_1|ECV|ResFinder|M22999.1	aac3_2	
C2|aac(6')-29|aac6p-6_1|EMV|CARD|WP_064190969.1	aac(6')-29	C2|aac(6')-29|aac6p-6_2|EMV|CARD|WP_064190968.1	C2|aac(6')-29|aac6p-7_2|EMV|ResFinder|AF263519.1	aac3_2	
C2|aac(6')-29|aac6p-6_2|EMV|CARD|WP_064190968.1	aac(6')-29	C2|aac(6')-29|aac6p-6_2|EMV|CARD|WP_064190968.1	C2|aac(6')-29|aac6p-7_2|EMV|ResFinder|AF263519.1	aac3_2	
C2|aac(6')-29|aac6p-7_1|EMV|ResFinder|AF263519.1	aac(6')-29	C2|aac(6')-29|aac6p-7_2|EMV|ResFinder|AF263519.1	C2|aac(6')-29|aac6p-7_2|EMV|ResFinder|AF263519.1	aac3_2	
C2|aac(6')-29|aac6p-7_2|EMV|ResFinder|AF263519.1	aac(6')-29	C2|aac(6')-29|aac6p-7_2|EMV|ResFinder|AF263519.1	C2|aac(6')-29|aac6p-7_2|EMV|ResFinder|AF263519.1	aac3_2	
C2|aac(6')-30/aac(6')-Ib'|aac6p-8_1|EMV|ResFinder|AJ584652.1	aac(6')-30/aac(6')-Ib'	C2|aac(6')-30/aac(6')-Ib'|aac6p-8_1|EMV|ResFinder|AJ584652.1	C2|aac(6')-30/aac(6')-Ib'|aac6p-8_1|EMV|ResFinder|AJ584652.1	aac3_2	
C2|aac(6')-31|aac6p-9_1|EMV|ResFinder|AM283489.1	aac(6')-31	C2|aac(6')-31|aac6p-9_1|EMV|ResFinder|AM283489.1	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac3_2	
C2|aac(6')-32|aac6p-10_1|ECV|ResFinder|EF614235.1	aac(6')-32	C2|aac(6')-32|aac6p-10_1|ECV|ResFinder|EF614235.1	C2|aac(6')-IIc|aac6p-14_1|EMV|ResFinder|NC.012555	aac3_2	
C2|aac(6')-34|aac6p-3_1|ECV|CARD|APB03223.1	aac(6')-34	C2|aac(6')-34|aac6p-3_1|ECV|CARD|APB03223.1	C2|aac(6')-34|aac6p-3_1|ECV|CARD|APB03223.1	aac3_2	
C2|aac(6')-IIa|aac6p-12_1|EMV|ResFinder|M29695.1	aac(6')-IIa	C2|aac(6')-IIa|aac6p-12_1|EMV|ResFinder|M29695.1	C2|aac(6')-IIc|aac6p-14_1|EMV|ResFinder|NC.012555	aac3_2	
C2|aac(6')-IIb|aac6p-13_1|ECV|ResFinder|L06163.1	aac(6')-IIb	C2|aac(6')-IIb|aac6p-13_1|ECV|ResFinder|L06163.1	C2|aac(6')-IIb|aac6p-13_1|ECV|ResFinder|L06163.1	aac3_2	
C2|aac(6')-IIc|aac6p-14_1|EMV|ResFinder|NC.012555	aac(6')-IIc	C2|aac(6')-IIc|aac6p-14_1|EMV|ResFinder|NC.012555	C2|aac(6')-IIc|aac6p-14_1|EMV|ResFinder|NC.012555	aac3_2	
C2|aac(6')-Iad|aac6p-17_1|ECV|ResFinder|AB119105.1	aac(6')-Iad	C2|aac(6')-Iad|aac6p-17_1|ECV|ResFinder|AB119105.1	C2|aac(6')-Iad|aac6p-17_1|ECV|ResFinder|AB119105.1	aac3_2	
C2|aac(6')-Iae|aac6p-18_1|EMV|ResFinder|AB104852.1	aac(6')-Iae	C2|aac(6')-Iae|aac6p-18_1|EMV|ResFinder|AB104852.1	C2|aac(6')-Iai|aac6p-20_1|EMV|ResFinder|EU886977.1	aac3_2	
C2|aac(6')-Iag|aac6p-19_1|ECV|ResFinder|AB472901.1	aac(6')-Iag	C2|aac(6')-Iag|aac6p-19_1|ECV|ResFinder|AB472901.1	C2|aac(6')-Iag|aac6p-19_1|ECV|ResFinder|AB472901.1	aac3_2	
C2|aac(6')-Iai|aac6p-20_1|EMV|ResFinder|EU886977.1	aac(6')-Iai	C2|aac(6')-Iai|aac6p-20_1|EMV|ResFinder|EU886977.1	C2|aac(6')-Iai|aac6p-20_1|EMV|ResFinder|EU886977.1	aac3_2	
C2|aac(6')-Iaj|aac6p-21_1|ECV|ResFinder|AB709942.1	aac(6')-Iaj	C2|aac(6')-Iaj|aac6p-21_1|ECV|ResFinder|AB709942.1	C2|aac(6')-Ia|aac6p-15_2|EMV|ResFinder|M86913.1	aac3_2	
C2|aac(6')-Iak|aac6p-22_1|ECV|CARD|BAO21229.1	aac(6')-Iak	C2|aac(6')-Iak|aac6p-22_2|ECV|ResFinder|AB894482.1	C2|aac(6')-Iak|aac6p-22_2|ECV|ResFinder|AB894482.1	aac3_2	
C2|aac(6')-Iak|aac6p-22_2|ECV|ResFinder|AB894482.1	aac(6')-Iak	C2|aac(6')-Iak|aac6p-22_2|ECV|ResFinder|AB894482.1	C2|aac(6')-Iak|aac6p-22_2|ECV|ResFinder|AB894482.1	aac3_2	
C2|aac(6')-Ian|aac6p-23_1|EMV|ResFinder|AP014611.1	aac(6')-Ian	C2|aac(6')-Ian|aac6p-23_1|EMV|ResFinder|AP014611.1	C2|aac(6')-Ian|aac6p-23_1|EMV|ResFinder|AP014611.1	aac3_2	
C2|aac(6')-Iap|aac6p-5_1|ECV|CARD|BCD41405.1	aac(6')-Iap	C2|aac(6')-Iap|aac6p-5_1|ECV|CARD|BCD41405.1	C2|aac(6')-Iak|aac6p-22_2|ECV|ResFinder|AB894482.1	aac3_2	
C2|aac(6')-Ia|aac6p-15_1|EMV|ResFinder|M18967.1	aac(6')-Ia	C2|aac(6')-Ia|aac6p-15_2|EMV|ResFinder|M86913.1	C2|aac(6')-Ia|aac6p-15_2|EMV|ResFinder|M86913.1	aac3_2	
C2|aac(6')-Ia|aac6p-15_2|EMV|ResFinder|M86913.1	aac(6')-Ia	C2|aac(6')-Ia|aac6p-15_2|EMV|ResFinder|M86913.1	C2|aac(6')-Ia|aac6p-15_2|EMV|ResFinder|M86913.1	aac3_2	
C2|aac(6')-Ib-SK|aac6p-4_1|ECV|CARD|BAD11815.1	aac(6')-Ib-SK	C2|aac(6')-Ib-SK|aac6p-4_1|ECV|CARD|BAD11815.1	C2|aac(6')-Ib-SK|aac6p-4_1|ECV|CARD|BAD11815.1	aac3_2	
C2|aac(6')-Ib7|aac6p-2_1|EMV|CARD|AKN19287.1	aac(6')-Ib7	C2|aac(6')-Ib7|aac6p-2_1|EMV|CARD|AKN19287.1	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac3_2	
C2|aac(6')-Ib7|aac6p-2_2|LMP|Victor_2025|HoAAMG_D_sequ2ence	aac(6')-Ib7	C2|aac(6')-Ib7|aac6p-2_1|EMV|CARD|AKN19287.1	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac3_2	
C2|aac(6')-Ib8|aac6p-1_1|EMV|CARD|AIK02012.1	aac(6')-Ib8	C2|aac(6')-Ib8|aac6p-1_1|EMV|CARD|AIK02012.1	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac3_2	
C2|aac(6')-Ib|aac6p-25_3|EMV|ResFinder|M21682.1	aac(6')-Ib	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac3_2	
C2|aac(6')-Ib|aac6p-25_2|EMV|CARD|AAD02244.1	aac(6')-Ib	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac3_2	
C2|aac(6')-Ib|aac6p-25_5|EMV|ResFinder|DQ303918.1	aac(6')-Ib	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac3_2	
C2|aac(6')-Ib|aac6p-25_12|LMP|Victor_2025|SeAAMG_D_sequ4ence	aac(6')-Ib	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac3_2	
C2|aac(6')-Ib|aac6p-25_7|EMV|CARD|NON98701.1	aac(6')-Ib	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac3_2	
C2|aac(6')-Ib|aac6p-25_10|EMV|ResFinder|X60321.1	aac(6')-Ib	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac3_2	
C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac(6')-Ib	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac3_2	
C2|aac(6')-Ib|aac6p-25_1|EMV|CARD|AAC46343.1	aac(6')-Ib	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac3_2	
C2|aac(6')-Ib|aac6p-25_11|LMP|Victor_2025|SeFAMG_D_sequ5ence	aac(6')-Ib	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac3_2	
C2|aac(6')-Ib|aac6p-25_8|EMV|CARD|WP_071846215.1	aac(6')-Ib	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	C2|aac(6')-Ib|aac6p-25_4|EMV|ResFinder|M23634.1	aac3_2	
